ha N N Y N N Y N N U U N Y none none none
abasto none none none none none none none none none none none none none none none
aquí Y H Y H Y Y N N N N Y Y rounded close back
aquí Y B Y B Y Y N N L L Y Y voiceless fricative velar
adrede none none none none none none none none none none none none none none none
ha ganado N N Y N N Y N N U U N Y none none none
ha producido N N Y N N Y N N U U N Y none none none
aquí none none none none none none none none none none none none none none none
ha roto N N Y N N Y N N U U N Y none none none
había N N N N Y N N N N N N N unrounded close front
había N N Y N N Y N N U U N Y none none none
habitación N N Y N N Y N N U U N Y none none none
habitual N N Y N N Y N N U U N Y none none none
habla N N Y N N Y N N U U N Y none none none
hablar N N Y N N Y N N U U N Y none none none
hablaron N N Y N N Y N N U U N Y none none none
hablar N N N N N N H N N N Y Y unrounded open central
hablar N N N N Y N N N U U N N voiced lateral alveolar
hablar N N Y N N Y N N U U N Y none none none
absorber Y B Y B Y Y N N U U Y Y voiced approximant bilabial
absorbiendo Y B Y B Y Y N N U U Y Y voiced approximant bilabial
agua N N Y H Y Y N N L L N N voiced approximant velar
adverbios Y B Y B Y Y N N U U Y Y voiced approximant dental
adverbios Y B Y B Y Y N N U U Y Y voiced approximant bilabial
adverbios Y B Y B Y Y N N U U Y Y voiced approximant dental
a cabo none none none none none none none none none none none none none none none
aceptación none none none none none none none none none none none none none none none
accesibilidad N N N N Y N N N N N N N unrounded close front
accesibilidad Y B Y B Y Y N N U U Y Y voiced approximant bilabial
accesibilidad N N N N Y N N N N N N N unrounded close front
accesibilidad N N N N Y N N N N N N N unrounded close front
accesibilidad N N N N Y N N N N N N N voiceless fricative interdental
hace N N Y N N Y N N U U N Y none none none
hacemos N N Y H N Y V V N N N Y voiced  nasal bilabial 
hacemos N N Y N N Y N N U U N Y none none none
hacer N N Y N N Y N N U U N Y none none none
aceptado Y B Y B Y Y N N L L Y Y voiceless plosive bilabial
adjetivo N N Y H Y Y N N N N N N voiced approximant bilabial
adjetivo N N N N Y N N N L L N N voiceless fricative velar
adjetivo Y B Y B Y Y N N U U Y Y voiced approximant dental
aquí Y H Y H Y Y N N N N Y Y rounded close back
aquí Y B Y B Y Y N N L L Y Y voiceless fricative velar
así N N N N N Y H N N N N N voiceless fricative alveolar
hacía N N Y N N Y N N U U N Y none none none
acompaña none none none none none none none none none none none none none none none
acompaña none none none none none none none none none none none none none none none
accesibilidad N N N N N Y H N N N N N voiceless fricative alveolar
accesibilidad N N N N Y N N N N N N N voiceless fricative interdental
accesibilidad N N N N Y N N N N N N N unrounded close front
accesibilidad Y B Y B Y Y N N U U Y Y voiced approximant bilabial
accesibilidad N N N N Y N N N N N N N unrounded close front
accesibilidad N N N N N N H N N N Y Y unrounded mid front
accesibilidad N N N N Y N N N N N N N voiceless fricative interdental
accesibilidad N N N N Y N N N N N N N voiceless fricative interdental
actividades N N Y H Y Y N N N N N N voiced approximant bilabial
actividades Y B Y B Y Y N N U U Y Y voiced approximant dental
accesibilidad N N N N N Y H N N N N N voiceless fricative alveolar
accesibilidad N N N N Y N N N N N N N voiceless fricative interdental
adverbios Y B Y B Y Y N N U U Y Y voiced approximant bilabial
adverbios N N Y H Y Y N N N N N N voiced approximant bilabial
adjetivo N N Y H Y Y N N N N N N voiced approximant bilabial
admiten N N N N N N H N N N Y Y unrounded mid front
admiten N N N N Y N N N U U N N voiceless plosive dental
admiten N N N N Y N N N N N N N unrounded close front
admiten N N Y H N Y V V N N N Y voiced  nasal bilabial 
admiten Y B Y B Y Y N N U U Y Y voiced approximant dental
adverbios Y B Y B Y Y N N U U Y Y voiced approximant bilabial
hago N N Y N N Y N N U U N Y none none none
agradecerá N N N N N N H N N N Y Y unrounded mid front
agradecerá N N N N Y N N N N N N N voiceless fricative interdental
agradecerá N N N N N N H N N N Y Y unrounded mid front
agradecerá Y B Y B Y Y N N U U Y Y voiced approximant dental
agradecerá N N N N N N H N N N Y Y unrounded open central
agradecerá N N N N N Y N N N N N N voiced tap alveolar
agradecerá N N Y H Y Y N N L L N N voiced approximant velar
agujero N N N N Y N N N L L N N voiceless fricative velar
año N N N N Y Y N N N N N N voiced nasal palatal
hay N N Y N N Y N N U U N Y none none none
aeropuerto N N N N N N H N N N Y Y unrounded mid front
ayuntamiento Y N Y H N Y N N L L N Y voiced fricative palatal
aquí Y H Y H Y Y N N N N Y Y rounded close back
aquí Y B Y B Y Y N N L L Y Y voiceless fricative velar
año N N N N Y Y N N N N N N voiced nasal palatal
agua N N Y H Y Y N N L L N N voiced approximant velar
a jugar none none none none none none none none none none none none none none none
alrededor none none none none none none none none none none none none none none none
alrededor none none none none none none none none none none none none none none none
alrededor none none none none none none none none none none none none none none none
a la ley none none none none none none none none none none none none none none none
a la ley none none none none none none none none none none none none none none none
alcalde N N N N Y N N N U U N N voiced lateral alveolar
alfabetización Y B Y B Y Y N N U U Y Y voiced approximant bilabial
aliviado N N Y H Y Y N N N N N N voiced approximant bilabial
alienígena N N N N Y N N N N N N N voiced approximant palatal
aya none none none none none none none none none none none none none none none
aya none none none none none none none none none none none none none none none
haya none none none none none none none none none none none none none none none
haya none none none none none none none none none none none none none none none
haya N N Y N N Y N N U U N Y none none none
ayer none none none none none none none none none none none none none none none
ayer none none none none none none none none none none none none none none none
año none none none none none none none none none none none none none none none
año none none none none none none none none none none none none none none none
ayudarme none none none none none none none none none none none none none none none
ayudarme none none none none none none none none none none none none none none none
ayuntamiento none none none none none none none none none none none none none none none
ayuntamiento none none none none none none none none none none none none none none none
al primero none none none none none none none none none none none none none none none
alrededor none none none none none none none none none none none none none none none
alrededor none none none none none none none none none none none none none none none
aliviado N N N N Y N N N N N N N unrounded close front
han N N Y N N Y N N U U N Y none none none
alcalde N N N N Y N N N U U N N voiced lateral alveolar
animales N N N N N N H N N N Y Y unrounded mid front
antiguo N N N N Y N N N N N N N unrounded close front
antropónimos N N N N Y N N N N N N N rounded mid back
antropónimos Y H Y H Y Y N N N N Y Y voiced  nasal alveolar 
atún none none none none none none none none none none none none none none none
ambiente Y B Y B Y Y N N U U Y Y voiced plosive bilabial
ambiente N N Y H N Y V V N N N Y voiced  nasal bilabial 
año none none none none none none none none none none none none none none none
año none none none none none none none none none none none none none none none
años none none none none none none none none none none none none none none none
años none none none none none none none none none none none none none none none
años none none none none none none none none none none none none none none none
ahogarse N N Y N N Y N N U U N Y none none none
ahora N N Y N N Y N N U U N Y none none none
aprovechar none none none none none none none none none none none none none none none
aprovechar N N Y H Y Y N N N N N N voiced approximant bilabial
aquí también none none none none none none none none none none none none none none none
harán N N Y N N Y N N U U N Y none none none
arrastraba N N N N N Y N N N N N N voiced trill alveolar
arrastraba N N N N N Y N N N N N N voiced trill alveolar
arbolazo N N N N Y N N N U U N N voiced lateral alveolar
arbolazo N N N N Y N N N N N N N rounded mid back
arbolazo Y B Y B Y Y N N U U Y Y voiced approximant bilabial
arbolazo N N N N N Y N N N N N N voiced tap alveolar
arboles N N N N N N H N N N Y Y unrounded mid front
arquitectura N N N N N Y N N N N N N voiced tap alveolar
arquitectura Y H Y H Y Y N N N N Y Y rounded close back
arquitectura N N N N Y N N N U U N N voiceless plosive dental
arquitectura N N N N N N H N N N Y Y unrounded mid front
arquitectura N N N N Y N N N U U N N voiceless plosive dental
arquitectura N N N N Y N N N N N N N unrounded close front
hace N N N N Y N N N N N N N voiceless fricative interdental
hace N N Y N N Y N N U U N Y none none none
hará N N Y N N Y N N U U N Y none none none
arrastraba Y B Y B Y Y N N U U Y Y voiced approximant bilabial
arrestar N N N N N N H N N N Y Y unrounded open central
arrestaron N N N N N Y N N N N N N voiced trill alveolar
artilugio N N Y H Y Y N N L L N N voiced approximant velar
arquitectura Y H Y H Y Y N N N N Y Y rounded close back
arquitectura Y B Y B Y Y N N L L Y Y voiceless fricative velar
asesinada none none none none none none none none none none none none none none none
asteroide N N N N Y N N N N N N N unrounded close front
tenis none none none none none none none none none none none none none none none
adjetivo Y B Y B Y Y N N U U Y Y voiced approximant dental
aunque none none none none none none none none none none none none none none none
aúno none none none none none none none none none none none none none none none
autobús Y B Y B Y Y N N U U Y Y voiced approximant bilabial
a veces none none none none none none none none none none none none none none none
haber Y B Y B Y Y N N U U Y Y voiced approximant bilabial
haber N N Y N N Y N N U U N Y none none none
hábil Y B Y B Y Y N N U U Y Y voiced approximant bilabial
hábil N N Y N N Y N N U U N Y none none none
habitación Y B Y B Y Y N N U U Y Y voiced approximant bilabial
habitación N N Y N N Y N N U U N Y none none none
agua N N Y H Y Y N N L L N N voiced plosive velar
hay N N Y N N Y N N U U N Y none none none
ayuntamiento N N N N Y N N N N N N N unrounded close front
ayuntamiento N N N N Y N N N U U N N voiceless plosive dental
haz N N Y N N Y N N U U N Y none none none
hace N N N N Y N N N N N N N voiceless fricative interdental
hace N N Y N N Y N N U U N Y none none none
hacer N N N N Y N N N N N N N voiceless fricative interdental
hacer N N Y N N Y N N U U N Y none none none
acercó N N N N Y N N N N N N N voiceless fricative velar
azul none none none none none none none none none none none none none none none
actrices N N N N Y N N N N N N N voiceless fricative interdental
pagar Y B Y B Y Y N N L L Y Y voiceless plosive bilabial
vamos N N Y H Y Y N N N N N N voiced plosive bilabial
variable N N Y H Y Y N N N N N N voiced plosive bilabial
varias N N Y H Y Y N N N N N N voiced plosive bilabial
bastante N N N N Y N N N U U N N voiceless plosive dental
baobab N N N N Y N N N N N N N rounded mid back
ve N N Y H Y Y N N N N N N voiced plosive bilabial
beber Y B Y B Y Y N N U U Y Y voiced approximant bilabial
deber Y B Y B Y Y N N U U Y Y voiced approximant bilabial
deber Y B Y B Y Y N N U U Y Y voiced plosive dental
beneficiario N N N N Y N H N U B N N voiceless fricative labiodental
beneficioso N N N N Y N H N U B N N voiceless fricative labiodental
beneficiario N N N N N N H N N N Y Y unrounded open central
beneficiario N N N N Y N N N N N N N voiceless fricative interdental
ventana N N Y H Y Y N N N N N N voiced plosive bilabial
verdadera N N Y H Y Y N N N N N N voiced plosive bilabial
berenjena N N N N Y N N N L L N N voiceless fricative velar
berenjena Y H Y H Y Y N N N N Y Y voiced  nasal alveolar 
